x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	21.2801	12.4823	3.09099e+06	322.068	0.000103243	10.0111	300.028	8030
0.000501002	21.1408	12.4944	3.09099e+06	324.19	9.56622e-05	10.0453	300.116	16005
0.001002	20.9997	12.5068	3.09098e+06	326.368	8.3029e-05	10.0937	300.241	15950
0.00150301	20.8568	12.5193	3.09097e+06	328.603	6.2042e-05	10.1498	300.374	15510
0.00200401	20.712	12.5321	3.09096e+06	330.899	4.18829e-05	10.1941	300.48	4400
0.00250501	20.5654	12.5448	3.09095e+06	333.256	0	0	0	0
0.00300601	20.4169	12.5577	3.09094e+06	335.679	0	0	0	0
0.00350701	20.2666	12.5705	3.09093e+06	338.169	0	0	0	0
0.00400802	20.1142	12.5834	3.09092e+06	340.728	0	0	0	0
0.00450902	19.96	12.5964	3.09091e+06	343.36	0	0	0	0
0.00501002	19.8037	12.6093	3.0909e+06	346.068	0	0	0	0
0.00551102	19.6455	12.6222	3.09089e+06	348.855	0	0	0	0
0.00601202	19.4852	12.6352	3.09088e+06	351.724	0	0	0	0
0.00651303	19.3228	12.6481	3.09087e+06	354.678	0	0	0	0
0.00701403	19.1583	12.6611	3.09086e+06	357.721	0	0	0	0
0.00751503	18.9918	12.674	3.09085e+06	360.858	0	0	0	0
0.00801603	18.823	12.6869	3.09084e+06	364.091	0	0	0	0
0.00851703	18.6521	12.6999	3.09083e+06	367.426	0	0	0	0
0.00901804	18.479	12.7128	3.09082e+06	370.867	0	0	0	0
0.00951904	18.3036	12.7258	3.09081e+06	374.42	0	0	0	0
0.01002	18.126	12.7387	3.0908e+06	378.088	0	0	0	0
0.010521	17.946	12.7517	3.09079e+06	381.878	0	0	0	0
0.011022	17.7637	12.7646	3.09078e+06	385.795	0	0	0	0
0.011523	17.5791	12.7776	3.09077e+06	389.847	0	0	0	0
0.012024	17.392	12.7905	3.09076e+06	394.038	0	0	0	0
0.0125251	17.2025	12.8034	3.09075e+06	398.378	0	0	0	0
0.0130261	17.0105	12.8164	3.09074e+06	402.872	0	0	0	0
0.0135271	16.816	12.8293	3.09073e+06	407.531	0	0	0	0
0.0140281	16.619	12.8423	3.09072e+06	412.361	0	0	0	0
0.0145291	16.4194	12.8552	3.09071e+06	417.372	0	0	0	0
0.0150301	16.2172	12.8682	3.0907e+06	422.575	0	0	0	0
0.0155311	16.0123	12.8811	3.09069e+06	427.98	0	0	0	0
0.0160321	15.8048	12.8941	3.09068e+06	433.6	0	0	0	0
0.0165331	15.5945	12.907	3.09067e+06	439.445	0	0	0	0
0.0170341	15.3814	12.9199	3.09066e+06	445.53	0	0	0	0
0.0175351	15.1656	12.9329	3.09065e+06	451.87	0	0	0	0
0.0180361	14.9469	12.9458	3.09064e+06	458.481	0	0	0	0
0.0185371	14.7253	12.9588	3.09063e+06	465.378	0	0	0	0
0.0190381	14.5008	12.9717	3.09062e+06	472.582	0	0	0	0
0.0195391	14.2733	12.9847	3.09061e+06	480.112	0	0	0	0
0.0200401	14.0428	12.9976	3.0906e+06	487.991	0	0	0	0
0.0205411	13.8093	13.0106	3.09059e+06	496.242	0	0	0	0
0.0210421	13.5727	13.0235	3.09058e+06	504.892	0	0	0	0
0.0215431	13.3329	13.0365	3.09057e+06	513.97	0	0	0	0
0.0220441	13.0899	13.0495	3.09056e+06	523.508	0	0	0	0
0.0225451	12.8437	13.0625	3.09055e+06	533.541	0	0	0	0
0.0230461	12.5943	13.0755	3.09054e+06	544.107	0	0	0	0
0.0235471	12.3415	13.0887	3.09054e+06	555.25	0	0	0	0
0.0240481	12.0854	13.102	3.09053e+06	567.017	0	0	0	0
0.0245491	11.8258	13.1157	3.09052e+06	579.461	0	0	0	0
0.0250501	11.5628	13.1301	3.09052e+06	592.642	0	0	0	0
0.0255511	11.2963	13.1456	3.09053e+06	606.625	0	0	0	0
0.0260521	11.0263	13.1634	3.09055e+06	621.485	0	0	0	0
0.0265531	10.7527	13.1856	3.0906e+06	637.307	0	0	0	0
0.0270541	10.4756	13.2162	3.0907e+06	654.186	0	0	0	0
0.0275551	10.195	13.2634	3.0909e+06	672.232	0	0	0	0
0.0280561	9.9112	13.3432	3.09129e+06	691.571	0	0	0	0
0.0285571	9.62446	13.4883	3.09206e+06	712.352	0	0	0	0
0.0290581	9.33565	13.7654	3.09358e+06	734.751	0	0	0	0
0.0295591	9.04644	14.313	3.09662e+06	758.987	0	0	0	0
0.0300601	8.76022	15.423	3.10278e+06	785.342	0	0	0	0
0.0305611	8.4815	17.1294	3.10528e+06	811.804	0	0	0	0
0.0310621	8.21347	19.1642	3.10583e+06	838.443	0	0	0	0
0.0315631	7.95738	21.3784	3.10534e+06	865.293	0	0	0	0
0.0320641	7.71345	23.6898	3.10433e+06	892.363	0	0	0	0
0.0325651	7.48145	26.0536	3.10304e+06	919.655	0	0	0	0
0.0330661	7.26089	28.4459	3.10163e+06	947.161	0	0	0	0
0.0335671	7.0512	30.8538	3.10017e+06	974.869	0	0	0	0
0.0340681	6.85178	33.2704	3.09869e+06	1002.76	0	0	0	0
0.0345691	6.66206	35.6922	3.09722e+06	1030.83	0	0	0	0
0.0350701	6.48147	38.1174	3.09575e+06	1059.05	0	0	0	0
0.0355711	6.30951	40.545	3.0943e+06	1087.4	0	0	0	0
0.0360721	6.14569	42.9747	3.09287e+06	1115.87	0	0	0	0
0.0365731	5.98958	45.406	3.09145e+06	1144.43	0	0	0	0
0.0370741	5.84076	47.839	3.09004e+06	1173.06	0	0	0	0
0.0375752	5.69887	50.2736	3.08866e+06	1201.72	0	0	0	0
0.0380762	5.56356	52.7097	3.08728e+06	1230.4	0	0	0	0
