x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	19.7831	13.4122	2.87401e+06	322.12	0.000102971	10.0212	300.028	7550
0.000501002	19.6503	13.4123	2.87401e+06	324.296	9.57947e-05	10.0849	300.116	14900
0.001002	19.5159	13.4124	2.87401e+06	326.53	8.30911e-05	10.1744	300.241	14830
0.00150301	19.3797	13.4125	2.87401e+06	328.824	6.25859e-05	10.2757	300.374	14400
0.00200401	19.2418	13.4126	2.87401e+06	331.181	4.06144e-05	10.358	300.481	4290
0.00250501	19.1021	13.4127	2.87401e+06	333.602	0	0	0	0
0.00300601	18.9607	13.4128	2.87401e+06	336.091	0	0	0	0
0.00350701	18.8174	13.4129	2.87401e+06	338.65	0	0	0	0
0.00400802	18.6723	13.4131	2.87401e+06	341.282	0	0	0	0
0.00450902	18.5253	13.4132	2.87401e+06	343.99	0	0	0	0
0.00501002	18.3765	13.4133	2.87401e+06	346.776	0	0	0	0
0.00551102	18.2257	13.4134	2.87401e+06	349.644	0	0	0	0
0.00601202	18.073	13.4135	2.87401e+06	352.598	0	0	0	0
0.00651303	17.9184	13.4137	2.87401e+06	355.641	0	0	0	0
0.00701403	17.7617	13.4138	2.87401e+06	358.778	0	0	0	0
0.00751503	17.6031	13.4139	2.87401e+06	362.011	0	0	0	0
0.00801603	17.4424	13.414	2.87401e+06	365.345	0	0	0	0
0.00851703	17.2797	13.4141	2.87401e+06	368.786	0	0	0	0
0.00901804	17.1149	13.4142	2.87401e+06	372.337	0	0	0	0
0.00951904	16.948	13.4144	2.87401e+06	376.004	0	0	0	0
0.01002	16.7789	13.4145	2.874e+06	379.793	0	0	0	0
0.010521	16.6077	13.4146	2.874e+06	383.708	0	0	0	0
0.011022	16.4343	13.4147	2.874e+06	387.757	0	0	0	0
0.011523	16.2586	13.4148	2.874e+06	391.946	0	0	0	0
0.012024	16.0807	13.4149	2.874e+06	396.282	0	0	0	0
0.0125251	15.9006	13.4151	2.874e+06	400.773	0	0	0	0
0.0130261	15.7181	13.4152	2.874e+06	405.425	0	0	0	0
0.0135271	15.5333	13.4153	2.874e+06	410.249	0	0	0	0
0.0140281	15.3461	13.4154	2.874e+06	415.253	0	0	0	0
0.0145291	15.1565	13.4155	2.874e+06	420.447	0	0	0	0
0.0150301	14.9645	13.4156	2.874e+06	425.842	0	0	0	0
0.0155311	14.77	13.4158	2.874e+06	431.449	0	0	0	0
0.0160321	14.5731	13.4159	2.874e+06	437.28	0	0	0	0
0.0165331	14.3736	13.416	2.874e+06	443.349	0	0	0	0
0.0170341	14.1715	13.4161	2.874e+06	449.67	0	0	0	0
0.0175351	13.9669	13.4162	2.874e+06	456.258	0	0	0	0
0.0180361	13.7596	13.4163	2.874e+06	463.131	0	0	0	0
0.0185371	13.5497	13.4165	2.874e+06	470.306	0	0	0	0
0.0190381	13.3371	13.4166	2.874e+06	477.802	0	0	0	0
0.0195391	13.1218	13.4167	2.874e+06	485.643	0	0	0	0
0.0200401	12.9037	13.4168	2.874e+06	493.851	0	0	0	0
