x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	27.2631	9.90455	3.9577e+06	321.878	0.000102928	9.99997	300.028	7380
0.000501002	27.1006	10.0739	3.95766e+06	323.805	9.57113e-05	9.99974	300.116	15380
0.001002	26.9355	10.2462	3.95758e+06	325.783	8.35781e-05	9.99905	300.239	16100
0.00150301	26.768	10.4206	3.95748e+06	327.813	6.26939e-05	9.99775	300.372	15510
0.00200401	26.598	10.5964	3.95737e+06	329.899	4.16362e-05	9.99701	300.481	4630
0.00250501	26.4257	10.7732	3.95725e+06	332.04	0	0	0	0
0.00300601	26.2509	10.9506	3.95712e+06	334.24	0	0	0	0
0.00350701	26.0738	11.1283	3.957e+06	336.5	0	0	0	0
0.00400802	25.8943	11.3062	3.95687e+06	338.821	0	0	0	0
0.00450902	25.7125	11.4841	3.95675e+06	341.207	0	0	0	0
0.00501002	25.5283	11.662	3.95663e+06	343.659	0	0	0	0
0.00551102	25.3417	11.8398	3.95651e+06	346.179	0	0	0	0
0.00601202	25.1527	12.0174	3.9564e+06	348.77	0	0	0	0
0.00651303	24.9613	12.1948	3.95629e+06	351.434	0	0	0	0
0.00701403	24.7675	12.372	3.95618e+06	354.174	0	0	0	0
0.00751503	24.5713	12.5489	3.95608e+06	356.993	0	0	0	0
0.00801603	24.3727	12.7255	3.95598e+06	359.894	0	0	0	0
0.00851703	24.1716	12.9017	3.95588e+06	362.879	0	0	0	0
0.00901804	23.9681	13.0777	3.95579e+06	365.952	0	0	0	0
0.00951904	23.762	13.2532	3.9557e+06	369.117	0	0	0	0
0.01002	23.5535	13.4284	3.95562e+06	372.376	0	0	0	0
0.010521	23.3425	13.6033	3.95554e+06	375.735	0	0	0	0
0.011022	23.129	13.7777	3.95547e+06	379.197	0	0	0	0
0.011523	22.9128	13.9517	3.95539e+06	382.767	0	0	0	0
0.012024	22.6941	14.1254	3.95533e+06	386.449	0	0	0	0
0.0125251	22.4728	14.2985	3.95526e+06	390.248	0	0	0	0
0.0130261	22.2489	14.4713	3.9552e+06	394.17	0	0	0	0
0.0135271	22.0223	14.6436	3.95514e+06	398.22	0	0	0	0
0.0140281	21.793	14.8154	3.95508e+06	402.405	0	0	0	0
0.0145291	21.5609	14.9868	3.95503e+06	406.73	0	0	0	0
0.0150301	21.3261	15.1577	3.95498e+06	411.203	0	0	0	0
0.0155311	21.0885	15.3282	3.95493e+06	415.831	0	0	0	0
0.0160321	20.848	15.4981	3.95489e+06	420.622	0	0	0	0
0.0165331	20.6047	15.6676	3.95484e+06	425.585	0	0	0	0
0.0170341	20.3584	15.8365	3.9548e+06	430.728	0	0	0	0
0.0175351	20.1092	16.005	3.95476e+06	436.063	0	0	0	0
0.0180361	19.857	16.1729	3.95473e+06	441.598	0	0	0	0
0.0185371	19.6016	16.3404	3.95469e+06	447.346	0	0	0	0
0.0190381	19.3432	16.5073	3.95466e+06	453.319	0	0	0	0
0.0195391	19.0816	16.6737	3.95463e+06	459.531	0	0	0	0
0.0200401	18.8167	16.8396	3.9546e+06	465.996	0	0	0	0
0.0205411	18.5485	17.005	3.95457e+06	472.73	0	0	0	0
0.0210421	18.277	17.1699	3.95454e+06	479.749	0	0	0	0
0.0215431	18.0021	17.3343	3.95452e+06	487.073	0	0	0	0
0.0220441	17.7236	17.4982	3.95449e+06	494.723	0	0	0	0
0.0225451	17.4416	17.6617	3.95447e+06	502.719	0	0	0	0
0.0230461	17.1559	17.8248	3.95445e+06	511.087	0	0	0	0
0.0235471	16.8665	17.9876	3.95443e+06	519.854	0	0	0	0
0.0240481	16.5733	18.1503	3.95441e+06	529.049	0	0	0	0
0.0245491	16.2762	18.3132	3.9544e+06	538.705	0	0	0	0
0.0250501	15.9751	18.4768	3.9544e+06	548.857	0	0	0	0
0.0255511	15.67	18.642	3.95442e+06	559.546	0	0	0	0
0.0260521	15.3608	18.8103	3.95447e+06	570.817	0	0	0	0
0.0265531	15.0475	18.9845	3.95457e+06	582.719	0	0	0	0
0.0270541	14.73	19.1694	3.95476e+06	595.308	0	0	0	0
0.0275551	14.4084	19.3735	3.9551e+06	608.648	0	0	0	0
0.0280561	14.0829	19.6123	3.95573e+06	622.812	0	0	0	0
0.0285571	13.7541	19.9137	3.95684e+06	637.883	0	0	0	0
0.0290581	13.4227	20.3287	3.95884e+06	653.962	0	0	0	0
0.0295591	13.0904	20.9515	3.96243e+06	671.168	0	0	0	0
0.0300601	12.7604	21.957	3.96891e+06	689.653	0	0	0	0
0.0305611	12.4365	23.3664	3.97201e+06	708.165	0	0	0	0
0.0310621	12.1219	25.0237	3.97308e+06	726.744	0	0	0	0
0.0315631	11.8179	26.8323	3.97294e+06	745.408	0	0	0	0
0.0320641	11.5253	28.7328	3.97209e+06	764.17	0	0	0	0
0.0325651	11.2441	30.6889	3.97081e+06	783.03	0	0	0	0
0.0330661	10.9741	32.6786	3.9693e+06	801.987	0	0	0	0
0.0335671	10.7151	34.6886	3.96766e+06	821.036	0	0	0	0
0.0340681	10.4666	36.7109	3.96595e+06	840.169	0	0	0	0
0.0345691	10.2281	38.7409	3.9642e+06	859.378	0	0	0	0
0.0350701	9.99931	40.7758	3.96244e+06	878.651	0	0	0	0
0.0355711	9.77976	42.8138	3.96068e+06	897.978	0	0	0	0
0.0360721	9.56905	44.8542	3.95893e+06	917.344	0	0	0	0
0.0365731	9.36681	46.8962	3.95718e+06	936.737	0	0	0	0
0.0370741	9.1727	48.9396	3.95544e+06	956.141	0	0	0	0
0.0375752	8.98639	50.9843	3.95372e+06	975.538	0	0	0	0
0.0380762	8.80759	53.0301	3.95201e+06	994.91	0	0	0	0
0.0385772	8.63604	55.077	3.9503e+06	1014.24	0	0	0	0
0.0390782	8.47148	57.125	3.94861e+06	1033.5	0	0	0	0
0.0395792	8.31371	59.174	3.94693e+06	1052.66	0	0	0	0
0.0400802	8.16252	61.2241	3.94526e+06	1071.7	0	0	0	0
0.0405812	8.01774	63.2752	3.9436e+06	1090.6	0	0	0	0
0.0410822	7.87924	65.3274	3.94195e+06	1109.31	0	0	0	0
0.0415832	7.74688	67.3806	3.94032e+06	1127.79	0	0	0	0
0.0420842	7.62058	69.4349	3.93869e+06	1146.01	0	0	0	0
0.0425852	7.50027	71.4903	3.93707e+06	1163.91	0	0	0	0
0.0430862	7.38591	73.5468	3.93546e+06	1181.45	0	0	0	0
0.0435872	7.2775	75.6043	3.93387e+06	1198.56	0	0	0	0
0.0440882	7.17504	77.663	3.93228e+06	1215.19	0	0	0	0
0.0445892	7.0786	79.7227	3.9307e+06	1231.25	0	0	0	0
0.0450902	6.98828	81.7834	3.92914e+06	1246.67	0	0	0	0
0.0455912	6.90419	83.8451	3.92758e+06	1261.35	0	0	0	0
0.0460922	6.82652	85.9075	3.92604e+06	1275.2	0	0	0	0
0.0465932	6.7555	87.9701	3.9245e+06	1288.1	0	0	0	0
0.0470942	6.69138	90.0314	3.92296e+06	1299.94	0	0	0	0
0.0475952	6.63448	92.0881	3.92141e+06	1310.57	0	0	0	0
0.0480962	6.58516	94.1321	3.91979e+06	1319.84	0	0	0	0
0.0485972	6.54375	96.1432	3.918e+06	1327.58	0	0	0	0
0.0490982	6.51045	98.0722	3.91576e+06	1333.61	0	0	0	0
0.0495992	6.48504	99.7981	3.91241e+06	1337.69	0	0	0	0
0.0501002	6.46608	101.024	3.90628e+06	1339.51	0	0	0	0
0.0506012	6.45107	101.713	3.90315e+06	1341.55	0	0	0	0
0.0511022	6.43799	102.133	3.90154e+06	1343.72	0	0	0	0
0.0516032	6.42584	102.417	3.90068e+06	1345.96	0	0	0	0
0.0521042	6.4141	102.631	3.9002e+06	1348.26	0	0	0	0
0.0526052	6.40253	102.812	3.89991e+06	1350.6	0	0	0	0
0.0531062	6.39099	102.974	3.89972e+06	1352.97	0	0	0	0
0.0536072	6.37943	103.128	3.89958e+06	1355.38	0	0	0	0
0.0541082	6.36781	103.277	3.89946e+06	1357.81	0	0	0	0
0.0546092	6.35611	103.424	3.89936e+06	1360.27	0	0	0	0
0.0551102	6.34434	103.569	3.89926e+06	1362.76	0	0	0	0
0.0556112	6.33247	103.713	3.89917e+06	1365.28	0	0	0	0
0.0561122	6.32053	103.857	3.89908e+06	1367.83	0	0	0	0
0.0566132	6.30849	104	3.89899e+06	1370.41	0	0	0	0
0.0571142	6.29636	104.143	3.8989e+06	1373.02	0	0	0	0
0.0576152	6.28415	104.286	3.89882e+06	1375.66	0	0	0	0
0.0581162	6.27184	104.428	3.89873e+06	1378.32	0	0	0	0
0.0586172	6.25944	104.57	3.89864e+06	1381.02	0	0	0	0
0.0591182	6.24695	104.711	3.89856e+06	1383.76	0	0	0	0
0.0596192	6.23437	104.852	3.89848e+06	1386.52	0	0	0	0
0.0601202	6.2217	104.993	3.89839e+06	1389.31	0	0	0	0
0.0606212	6.20893	105.134	3.89831e+06	1392.14	0	0	0	0
0.0611222	6.19607	105.274	3.89823e+06	1395	0	0	0	0
