x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	19.7965	13.4031	2.87596e+06	322.12	0.000103084	10.021	300.028	7550
0.000501002	19.6637	13.4034	2.87596e+06	324.295	9.57896e-05	10.0845	300.116	14900
0.001002	19.5292	13.4036	2.87596e+06	326.529	8.33931e-05	10.1731	300.241	14810
0.00150301	19.393	13.4038	2.87596e+06	328.823	6.2368e-05	10.2746	300.374	14390
0.00200401	19.255	13.404	2.87596e+06	331.179	4.14055e-05	10.3546	300.48	4170
0.00250501	19.1153	13.4043	2.87596e+06	333.6	0	0	0	0
0.00300601	18.9737	13.4045	2.87596e+06	336.089	0	0	0	0
0.00350701	18.8304	13.4047	2.87596e+06	338.647	0	0	0	0
0.00400802	18.6852	13.4049	2.87596e+06	341.278	0	0	0	0
0.00450902	18.5381	13.4052	2.87596e+06	343.985	0	0	0	0
0.00501002	18.3892	13.4054	2.87596e+06	346.771	0	0	0	0
0.00551102	18.2384	13.4056	2.87596e+06	349.639	0	0	0	0
0.00601202	18.0856	13.4059	2.87596e+06	352.592	0	0	0	0
0.00651303	17.9309	13.4061	2.87596e+06	355.635	0	0	0	0
0.00701403	17.7742	13.4063	2.87596e+06	358.771	0	0	0	0
0.00751503	17.6154	13.4066	2.87596e+06	362.003	0	0	0	0
0.00801603	17.4547	13.4068	2.87596e+06	365.337	0	0	0	0
0.00851703	17.2919	13.407	2.87596e+06	368.777	0	0	0	0
0.00901804	17.127	13.4072	2.87596e+06	372.327	0	0	0	0
0.00951904	16.96	13.4075	2.87596e+06	375.994	0	0	0	0
0.01002	16.7908	13.4077	2.87596e+06	379.781	0	0	0	0
0.010521	16.6195	13.4079	2.87596e+06	383.696	0	0	0	0
0.011022	16.446	13.4082	2.87596e+06	387.744	0	0	0	0
0.011523	16.2703	13.4084	2.87596e+06	391.932	0	0	0	0
0.012024	16.0923	13.4086	2.87596e+06	396.267	0	0	0	0
0.0125251	15.912	13.4089	2.87596e+06	400.756	0	0	0	0
0.0130261	15.7294	13.4091	2.87596e+06	405.408	0	0	0	0
0.0135271	15.5445	13.4093	2.87596e+06	410.231	0	0	0	0
0.0140281	15.3572	13.4095	2.87596e+06	415.234	0	0	0	0
0.0145291	15.1676	13.4098	2.87596e+06	420.426	0	0	0	0
0.0150301	14.9754	13.41	2.87595e+06	425.82	0	0	0	0
0.0155311	14.7809	13.4102	2.87595e+06	431.426	0	0	0	0
0.0160321	14.5838	13.4105	2.87595e+06	437.255	0	0	0	0
0.0165331	14.3842	13.4107	2.87595e+06	443.323	0	0	0	0
0.0170341	14.182	13.4109	2.87595e+06	449.642	0	0	0	0
0.0175351	13.9773	13.4112	2.87595e+06	456.228	0	0	0	0
0.0180361	13.7699	13.4114	2.87595e+06	463.099	0	0	0	0
0.0185371	13.5599	13.4116	2.87595e+06	470.272	0	0	0	0
0.0190381	13.3472	13.4118	2.87595e+06	477.767	0	0	0	0
0.0195391	13.1317	13.4121	2.87595e+06	485.605	0	0	0	0
0.0200401	12.9135	13.4123	2.87595e+06	493.81	0	0	0	0
0.0205411	12.6925	13.4126	2.87595e+06	502.409	0	0	0	0
0.0210421	12.4687	13.4128	2.87595e+06	511.428	0	0	0	0
0.0215431	12.242	13.4131	2.87595e+06	520.898	0	0	0	0
0.0220441	12.0124	13.4133	2.87595e+06	530.855	0	0	0	0
0.0225451	11.7798	13.4137	2.87595e+06	541.335	0	0	0	0
0.0230461	11.5443	13.4141	2.87595e+06	552.379	0	0	0	0
0.0235471	11.3058	13.4146	2.87596e+06	564.035	0	0	0	0
0.0240481	11.0642	13.4153	2.87596e+06	576.351	0	0	0	0
0.0245491	10.8195	13.4165	2.87596e+06	589.387	0	0	0	0
0.0250501	10.5717	13.4184	2.87597e+06	603.205	0	0	0	0
0.0255511	10.3207	13.4217	2.87599e+06	617.877	0	0	0	0
0.0260521	10.0666	13.4277	2.87603e+06	633.483	0	0	0	0
0.0265531	9.80925	13.4388	2.87609e+06	650.114	0	0	0	0
0.0270541	9.54877	13.4594	2.8762e+06	667.876	0	0	0	0
0.0275551	9.28521	13.4987	2.87642e+06	686.885	0	0	0	0
0.0280561	9.01875	13.5741	2.87683e+06	707.281	0	0	0	0
0.0285571	8.74979	13.7211	2.87763e+06	729.223	0	0	0	0
0.0290581	8.4791	14.0112	2.87917e+06	752.906	0	0	0	0
0.0295591	8.20827	14.591	2.8822e+06	778.568	0	0	0	0
0.0300601	7.94047	15.7661	2.88826e+06	806.515	0	0	0	0
0.0305611	7.67988	17.5733	2.89074e+06	834.6	0	0	0	0
0.0310621	7.42946	19.7338	2.8913e+06	862.897	0	0	0	0
0.0315631	7.19035	22.09	2.89081e+06	891.443	0	0	0	0
0.0320641	6.96281	24.5539	2.88979e+06	920.25	0	0	0	0
0.0325651	6.74657	27.0768	2.8885e+06	949.32	0	0	0	0
0.0330661	6.54118	29.632	2.88707e+06	978.644	0	0	0	0
0.0335671	6.34609	32.2052	2.88559e+06	1008.21	0	0	0	0
0.0340681	6.16072	34.7887	2.88409e+06	1038.01	0	0	0	0
0.0345691	5.98451	37.3782	2.88259e+06	1068.02	0	0	0	0
0.0350701	5.81693	39.9718	2.8811e+06	1098.22	0	0	0	0
0.0355711	5.65749	42.5683	2.87963e+06	1128.59	0	0	0	0
0.0360721	5.50571	45.1671	2.87818e+06	1159.12	0	0	0	0
0.0365731	5.36117	47.7679	2.87674e+06	1189.77	0	0	0	0
0.0370741	5.22348	50.3706	2.87532e+06	1220.53	0	0	0	0
0.0375752	5.09227	52.9751	2.87391e+06	1251.37	0	0	0	0
0.0380762	4.96723	55.5815	2.87253e+06	1282.25	0	0	0	0
0.0385772	4.84803	58.1896	2.87115e+06	1313.15	0	0	0	0
0.0390782	4.73442	60.7994	2.86979e+06	1344.02	0	0	0	0
0.0395792	4.62614	63.4111	2.86845e+06	1374.84	0	0	0	0
0.0400802	4.52297	66.0245	2.86711e+06	1405.54	0	0	0	0
0.0405812	4.42472	68.6397	2.86579e+06	1436.09	0	0	0	0
0.0410822	4.33121	71.2566	2.86448e+06	1466.43	0	0	0	0
0.0415832	4.2423	73.8754	2.86319e+06	1496.48	0	0	0	0
0.0420842	4.15787	76.4959	2.8619e+06	1526.19	0	0	0	0
0.0425852	4.07781	79.1182	2.86063e+06	1555.46	0	0	0	0
0.0430862	4.00205	81.7423	2.85936e+06	1584.2	0	0	0	0
0.0435872	3.93056	84.3682	2.85811e+06	1612.31	0	0	0	0
0.0440882	3.86332	86.9959	2.85687e+06	1639.66	0	0	0	0
0.0445892	3.80034	89.6254	2.85564e+06	1666.11	0	0	0	0
0.0450902	3.74168	92.2567	2.85442e+06	1691.51	0	0	0	0
0.0455912	3.68743	94.8897	2.85321e+06	1715.66	0	0	0	0
0.0460922	3.63772	97.5246	2.85201e+06	1738.38	0	0	0	0
0.0465932	3.59274	100.161	2.85082e+06	1759.41	0	0	0	0
0.0470942	3.5527	102.799	2.84965e+06	1778.51	0	0	0	0
0.0475952	3.51792	105.436	2.84848e+06	1795.36	0	0	0	0
0.0480962	3.48873	108.068	2.8473e+06	1809.62	0	0	0	0
0.0485972	3.46555	110.679	2.84605e+06	1820.93	0	0	0	0
0.0490982	3.44875	113.217	2.84457e+06	1828.85	0	0	0	0
0.0495992	3.43839	115.51	2.84225e+06	1832.86	0	0	0	0
0.0501002	3.43336	116.989	2.83712e+06	1832.24	0	0	0	0
0.0506012	3.43132	117.59	2.83504e+06	1831.99	0	0	0	0
0.0511022	3.43049	117.834	2.8342e+06	1831.88	0	0	0	0
0.0516032	3.43016	117.933	2.83386e+06	1831.84	0	0	0	0
0.0521042	3.43003	117.974	2.83372e+06	1831.82	0	0	0	0
0.0526052	3.42998	117.99	2.83366e+06	1831.81	0	0	0	0
0.0531062	3.42997	117.997	2.83364e+06	1831.8	0	0	0	0
0.0536072	3.42996	118	2.83363e+06	1831.8	0	0	0	0
0.0541082	3.42997	118.001	2.83362e+06	1831.79	0	0	0	0
0.0546092	3.42997	118.002	2.83362e+06	1831.79	0	0	0	0
0.0551102	3.42998	118.002	2.83362e+06	1831.78	0	0	0	0
0.0556112	3.42998	118.003	2.83362e+06	1831.78	0	0	0	0
0.0561122	3.42999	118.003	2.83362e+06	1831.78	0	0	0	0
0.0566132	3.42999	118.003	2.83362e+06	1831.77	0	0	0	0
0.0571142	3.43	118.003	2.83362e+06	1831.77	0	0	0	0
0.0576152	3.43001	118.004	2.83362e+06	1831.77	0	0	0	0
0.0581162	3.43001	118.004	2.83362e+06	1831.76	0	0	0	0
0.0586172	3.43002	118.004	2.83362e+06	1831.76	0	0	0	0
0.0591182	3.43003	118.004	2.83362e+06	1831.76	0	0	0	0
0.0596192	3.43003	118.005	2.83362e+06	1831.75	0	0	0	0
0.0601202	3.43004	118.005	2.83362e+06	1831.75	0	0	0	0
0.0606212	3.43005	118.005	2.83362e+06	1831.74	0	0	0	0
