x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	19.7727	13.4191	2.8725e+06	322.12	0.000103035	10.0212	300.028	7550
0.000501002	19.64	13.4191	2.8725e+06	324.296	9.58203e-05	10.0853	300.116	14930
0.001002	19.5056	13.4192	2.8725e+06	326.531	8.32632e-05	10.1749	300.241	14790
0.00150301	19.3695	13.4192	2.8725e+06	328.825	6.24389e-05	10.2769	300.373	14400
0.00200401	19.2317	13.4192	2.8725e+06	331.182	4.08471e-05	10.3592	300.482	4670
0.00250501	19.092	13.4193	2.8725e+06	333.604	0	0	0	0
0.00300601	18.9506	13.4193	2.8725e+06	336.093	0	0	0	0
0.00350701	18.8074	13.4193	2.8725e+06	338.653	0	0	0	0
0.00400802	18.6624	13.4193	2.8725e+06	341.285	0	0	0	0
0.00450902	18.5155	13.4194	2.8725e+06	343.993	0	0	0	0
0.00501002	18.3667	13.4194	2.8725e+06	346.78	0	0	0	0
0.00551102	18.216	13.4194	2.8725e+06	349.648	0	0	0	0
0.00601202	18.0633	13.4195	2.8725e+06	352.603	0	0	0	0
0.00651303	17.9087	13.4195	2.8725e+06	355.646	0	0	0	0
0.00701403	17.7522	13.4195	2.8725e+06	358.783	0	0	0	0
0.00751503	17.5936	13.4196	2.8725e+06	362.017	0	0	0	0
0.00801603	17.433	13.4196	2.8725e+06	365.352	0	0	0	0
0.00851703	17.2704	13.4196	2.8725e+06	368.793	0	0	0	0
0.00901804	17.1056	13.4196	2.8725e+06	372.345	0	0	0	0
0.00951904	16.9388	13.4197	2.8725e+06	376.012	0	0	0	0
0.01002	16.7698	13.4197	2.8725e+06	379.802	0	0	0	0
0.010521	16.5986	13.4197	2.8725e+06	383.718	0	0	0	0
0.011022	16.4253	13.4198	2.8725e+06	387.768	0	0	0	0
0.011523	16.2497	13.4198	2.8725e+06	391.957	0	0	0	0
0.012024	16.0719	13.4198	2.8725e+06	396.294	0	0	0	0
0.0125251	15.8918	13.4199	2.8725e+06	400.785	0	0	0	0
0.0130261	15.7094	13.4199	2.8725e+06	405.438	0	0	0	0
0.0135271	15.5246	13.4199	2.8725e+06	410.263	0	0	0	0
0.0140281	15.3375	13.4199	2.8725e+06	415.268	0	0	0	0
0.0145291	15.148	13.42	2.8725e+06	420.463	0	0	0	0
0.0150301	14.9561	13.42	2.8725e+06	425.859	0	0	0	0
0.0155311	14.7617	13.42	2.8725e+06	431.467	0	0	0	0
0.0160321	14.5648	13.4201	2.8725e+06	437.299	0	0	0	0
0.0165331	14.3654	13.4201	2.8725e+06	443.37	0	0	0	0
0.0170341	14.1634	13.4201	2.8725e+06	449.692	0	0	0	0
0.0175351	13.9589	13.4202	2.8725e+06	456.281	0	0	0	0
