x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	23.0509	11.5177	3.34825e+06	322.072	0.000102718	10.0042	300.028	7860
0.000501002	22.8997	11.5231	3.34825e+06	324.198	9.56477e-05	10.0171	300.116	15660
0.001002	22.7466	11.5287	3.34824e+06	326.381	8.32689e-05	10.0357	300.241	15540
0.00150301	22.5915	11.5343	3.34824e+06	328.621	6.14922e-05	10.058	300.375	15060
0.00200401	22.4343	11.5399	3.34824e+06	330.923	3.91244e-05	10.0765	300.484	4356
0.00250501	22.2752	11.5456	3.34824e+06	333.288	0	0	0	0
0.00300601	22.1139	11.5513	3.34824e+06	335.718	0	0	0	0
0.00350701	21.9506	11.5569	3.34824e+06	338.216	0	0	0	0
0.00400802	21.7851	11.5626	3.34825e+06	340.785	0	0	0	0
0.00450902	21.6175	11.5683	3.34825e+06	343.428	0	0	0	0
0.00501002	21.4477	11.5739	3.34825e+06	346.148	0	0	0	0
0.00551102	21.2756	11.5796	3.34826e+06	348.947	0	0	0	0
0.00601202	21.1013	11.5852	3.34826e+06	351.831	0	0	0	0
0.00651303	20.9247	11.5908	3.34827e+06	354.801	0	0	0	0
0.00701403	20.7458	11.5964	3.34827e+06	357.862	0	0	0	0
0.00751503	20.5645	11.602	3.34828e+06	361.017	0	0	0	0
0.00801603	20.3808	11.6076	3.34829e+06	364.272	0	0	0	0
0.00851703	20.1947	11.6131	3.34829e+06	367.63	0	0	0	0
0.00901804	20.0061	11.6187	3.3483e+06	371.096	0	0	0	0
0.00951904	19.815	11.6242	3.34831e+06	374.675	0	0	0	0
0.01002	19.6214	11.6297	3.34832e+06	378.373	0	0	0	0
0.010521	19.4252	11.6352	3.34833e+06	382.196	0	0	0	0
0.011022	19.2265	11.6407	3.34834e+06	386.148	0	0	0	0
0.011523	19.0251	11.6462	3.34835e+06	390.237	0	0	0	0
0.012024	18.821	11.6517	3.34837e+06	394.47	0	0	0	0
0.0125251	18.6142	11.6571	3.34838e+06	398.854	0	0	0	0
0.0130261	18.4046	11.6626	3.34839e+06	403.397	0	0	0	0
0.0135271	18.1923	11.668	3.3484e+06	408.107	0	0	0	0
0.0140281	17.9771	11.6734	3.34842e+06	412.993	0	0	0	0
0.0145291	17.7591	11.6788	3.34843e+06	418.065	0	0	0	0
0.0150301	17.5381	11.6842	3.34845e+06	423.334	0	0	0	0
0.0155311	17.3143	11.6896	3.34846e+06	428.81	0	0	0	0
0.0160321	17.0874	11.695	3.34848e+06	434.505	0	0	0	0
0.0165331	16.8575	11.7004	3.34849e+06	440.432	0	0	0	0
0.0170341	16.6245	11.7057	3.34851e+06	446.606	0	0	0	0
0.0175351	16.3885	11.711	3.34852e+06	453.041	0	0	0	0
0.0180361	16.1493	11.7164	3.34854e+06	459.754	0	0	0	0
0.0185371	15.9068	11.7217	3.34855e+06	466.763	0	0	0	0
0.0190381	15.6612	11.727	3.34857e+06	474.087	0	0	0	0
0.0195391	15.4123	11.7323	3.34859e+06	481.746	0	0	0	0
0.0200401	15.16	11.7376	3.3486e+06	489.764	0	0	0	0
0.0205411	14.9044	11.7429	3.34862e+06	498.167	0	0	0	0
0.0210421	14.6454	11.7481	3.34864e+06	506.98	0	0	0	0
0.0215431	14.3829	11.7534	3.34865e+06	516.235	0	0	0	0
0.0220441	14.1169	11.7586	3.34867e+06	525.964	0	0	0	0
0.0225451	13.8474	11.7639	3.34869e+06	536.205	0	0	0	0
0.0230461	13.5742	11.7692	3.3487e+06	546.997	0	0	0	0
0.0235471	13.2975	11.7745	3.34872e+06	558.385	0	0	0	0
0.0240481	13.017	11.7799	3.34874e+06	570.419	0	0	0	0
0.0245491	12.7328	11.7854	3.34875e+06	583.154	0	0	0	0
0.0250501	12.4448	11.7911	3.34877e+06	596.652	0	0	0	0
0.0255511	12.153	11.7975	3.3488e+06	610.982	0	0	0	0
0.0260521	11.8574	11.8051	3.34883e+06	626.222	0	0	0	0
0.0265531	11.5578	11.8151	3.34888e+06	642.461	0	0	0	0
0.0270541	11.2544	11.8303	3.34896e+06	659.799	0	0	0	0
0.0275551	10.9471	11.8564	3.34911e+06	678.35	0	0	0	0
0.0280561	10.6361	11.9059	3.34941e+06	698.246	0	0	0	0
0.0285571	10.3218	12.0061	3.35003e+06	719.643	0	0	0	0
0.0290581	10.0049	12.2178	3.35134e+06	742.724	0	0	0	0
0.0295591	9.68735	12.6786	3.35417e+06	767.721	0	0	0	0
0.0300601	9.37301	13.704	3.36037e+06	794.935	0	0	0	0
0.0305611	9.06736	15.3283	3.36265e+06	822.289	0	0	0	0
0.0310621	8.7741	17.2556	3.363e+06	849.86	0	0	0	0
0.0315631	8.49449	19.3346	3.36241e+06	877.682	0	0	0	0
0.0320641	8.22863	21.489	3.36139e+06	905.763	0	0	0	0
0.0325651	7.9761	23.6805	3.36017e+06	934.101	0	0	0	0
0.0330661	7.73627	25.8905	3.35887e+06	962.687	0	0	0	0
0.0335671	7.50844	28.1098	3.35754e+06	991.506	0	0	0	0
0.0340681	7.29192	30.3341	3.35621e+06	1020.54	0	0	0	0
0.0345691	7.08605	32.5613	3.3549e+06	1049.78	0	0	0	0
0.0350701	6.89019	34.7905	3.3536e+06	1079.2	0	0	0	0
0.0355711	6.70378	37.0211	3.35231e+06	1108.79	0	0	0	0
0.0360721	6.52628	39.2531	3.35104e+06	1138.51	0	0	0	0
0.0365731	6.35719	41.4862	3.34978e+06	1168.36	0	0	0	0
0.0370741	6.19606	43.7205	3.34854e+06	1198.3	0	0	0	0
0.0375752	6.04249	45.956	3.34732e+06	1228.3	0	0	0	0
0.0380762	5.89608	48.1925	3.34611e+06	1258.35	0	0	0	0
0.0385772	5.7565	50.4303	3.34491e+06	1288.4	0	0	0	0
0.0390782	5.62342	52.6691	3.34372e+06	1318.42	0	0	0	0
0.0395792	5.49658	54.9091	3.34255e+06	1348.37	0	0	0	0
0.0400802	5.3757	57.1502	3.34138e+06	1378.21	0	0	0	0
0.0405812	5.26058	59.3925	3.34023e+06	1407.88	0	0	0	0
0.0410822	5.15101	61.6359	3.33909e+06	1437.34	0	0	0	0
0.0415832	5.04683	63.8805	3.33795e+06	1466.51	0	0	0	0
0.0420842	4.9479	66.1262	3.33683e+06	1495.33	0	0	0	0
0.0425852	4.8541	68.373	3.33572e+06	1523.72	0	0	0	0
0.0430862	4.76537	70.621	3.33461e+06	1551.57	0	0	0	0
0.0435872	4.68165	72.8702	3.33352e+06	1578.8	0	0	0	0
0.0440882	4.60293	75.1205	3.33244e+06	1605.28	0	0	0	0
0.0445892	4.52924	77.3719	3.33136e+06	1630.87	0	0	0	0
0.0450902	4.46064	79.6245	3.33029e+06	1655.42	0	0	0	0
0.0455912	4.39724	81.8783	3.32924e+06	1678.76	0	0	0	0
0.0460922	4.33921	84.1332	3.32819e+06	1700.68	0	0	0	0
0.0465932	4.28675	86.3892	3.32716e+06	1720.95	0	0	0	0
0.0470942	4.24015	88.6462	3.32613e+06	1739.33	0	0	0	0
0.0475952	4.19976	90.9036	3.32512e+06	1755.52	0	0	0	0
0.0480962	4.16601	93.1591	3.3241e+06	1769.21	0	0	0	0
0.0485972	4.13938	95.4036	3.32305e+06	1780.02	0	0	0	0
0.0490982	4.12038	97.6013	3.32182e+06	1787.57	0	0	0	0
0.0495992	4.10919	99.6091	3.31983e+06	1791.36	0	0	0	0
0.0501002	4.1044	100.858	3.31474e+06	1790.7	0	0	0	0
0.0506012	4.10301	101.292	3.31299e+06	1790.36	0	0	0	0
0.0511022	4.10281	101.445	3.31239e+06	1790.13	0	0	0	0
0.0516032	4.10303	101.501	3.31219e+06	1789.92	0	0	0	0
0.0521042	4.10343	101.523	3.31212e+06	1789.71	0	0	0	0
0.0526052	4.10391	101.534	3.3121e+06	1789.49	0	0	0	0
0.0531062	4.10443	101.541	3.3121e+06	1789.26	0	0	0	0
0.0536072	4.105	101.547	3.3121e+06	1789.02	0	0	0	0
0.0541082	4.10561	101.553	3.31211e+06	1788.75	0	0	0	0
0.0546092	4.10625	101.558	3.31211e+06	1788.48	0	0	0	0
0.0551102	4.10693	101.563	3.31212e+06	1788.18	0	0	0	0
0.0556112	4.10765	101.568	3.31212e+06	1787.87	0	0	0	0
0.0561122	4.10841	101.573	3.31213e+06	1787.55	0	0	0	0
0.0566132	4.10921	101.578	3.31213e+06	1787.2	0	0	0	0
0.0571142	4.11005	101.584	3.31214e+06	1786.84	0	0	0	0
0.0576152	4.11093	101.589	3.31215e+06	1786.46	0	0	0	0
0.0581162	4.11185	101.594	3.31215e+06	1786.06	0	0	0	0
0.0586172	4.11281	101.599	3.31216e+06	1785.65	0	0	0	0
0.0591182	4.11382	101.604	3.31216e+06	1785.21	0	0	0	0
0.0596192	4.11487	101.609	3.31217e+06	1784.76	0	0	0	0
0.0601202	4.11596	101.615	3.31217e+06	1784.29	0	0	0	0
0.0606212	4.11709	101.62	3.31218e+06	1783.8	0	0	0	0
0.0611222	4.11828	101.625	3.31219e+06	1783.29	0	0	0	0
0.0616232	4.1195	101.63	3.31219e+06	1782.77	0	0	0	0
0.0621242	4.12077	101.635	3.3122e+06	1782.22	0	0	0	0
0.0626253	4.12208	101.64	3.3122e+06	1781.65	0	0	0	0
0.0631263	4.12344	101.646	3.31221e+06	1781.07	0	0	0	0
0.0636273	4.12485	101.651	3.31221e+06	1780.47	0	0	0	0
0.0641283	4.1263	101.656	3.31222e+06	1779.84	0	0	0	0
0.0646293	4.1278	101.661	3.31223e+06	1779.2	0	0	0	0
0.0651303	4.12934	101.666	3.31223e+06	1778.54	0	0	0	0
0.0656313	4.13093	101.672	3.31224e+06	1777.86	0	0	0	0
0.0661323	4.13256	101.677	3.31224e+06	1777.16	0	0	0	0
0.0666333	4.13424	101.682	3.31225e+06	1776.44	0	0	0	0
0.0671343	4.13597	101.687	3.31225e+06	1775.7	0	0	0	0
0.0676353	4.13774	101.693	3.31226e+06	1774.94	0	0	0	0
0.0681363	4.13956	101.698	3.31227e+06	1774.17	0	0	0	0
0.0686373	4.14142	101.703	3.31227e+06	1773.37	0	0	0	0
0.0691383	4.14333	101.708	3.31228e+06	1772.56	0	0	0	0
0.0696393	4.14528	101.714	3.31228e+06	1771.73	0	0	0	0
0.0701403	4.14728	101.719	3.31229e+06	1770.88	0	0	0	0
0.0706413	4.14933	101.724	3.31229e+06	1770.01	0	0	0	0
0.0711423	4.15142	101.729	3.3123e+06	1769.12	0	0	0	0
0.0716433	4.15355	101.735	3.31231e+06	1768.21	0	0	0	0
0.0721443	4.15573	101.74	3.31231e+06	1767.29	0	0	0	0
0.0726453	4.15796	101.745	3.31232e+06	1766.34	0	0	0	0
0.0731463	4.16023	101.751	3.31232e+06	1765.38	0	0	0	0
0.0736473	4.16254	101.756	3.31233e+06	1764.4	0	0	0	0
0.0741483	4.1649	101.761	3.31233e+06	1763.41	0	0	0	0
0.0746493	4.1673	101.767	3.31234e+06	1762.39	0	0	0	0
0.0751503	4.16975	101.772	3.31235e+06	1761.36	0	0	0	0
0.0756513	4.17224	101.777	3.31235e+06	1760.32	0	0	0	0
0.0761523	4.17477	101.783	3.31236e+06	1759.25	0	0	0	0
0.0766533	4.17735	101.788	3.31236e+06	1758.17	0	0	0	0
0.0771543	4.17997	101.794	3.31237e+06	1757.07	0	0	0	0
0.0776553	4.18263	101.799	3.31237e+06	1755.95	0	0	0	0
0.0781563	4.18534	101.804	3.31238e+06	1754.82	0	0	0	0
0.0786573	4.18808	101.81	3.31238e+06	1753.67	0	0	0	0
0.0791583	4.19087	101.815	3.31239e+06	1752.51	0	0	0	0
0.0796593	4.1937	101.821	3.31239e+06	1751.33	0	0	0	0
