x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	19.8754	13.3507	2.8874e+06	322.118	0.000103119	10.0203	300.028	7500
0.000501002	19.7422	13.3515	2.8874e+06	324.291	9.56759e-05	10.082	300.116	14910
0.001002	19.6072	13.3523	2.8874e+06	326.523	8.32184e-05	10.1682	300.241	14790
0.00150301	19.4706	13.3532	2.8874e+06	328.814	6.22015e-05	10.2667	300.374	14360
0.00200401	19.3322	13.3541	2.88739e+06	331.168	4.0931e-05	10.3451	300.481	4430
0.00250501	19.192	13.3549	2.88739e+06	333.587	0	0	0	0
0.00300601	19.05	13.3558	2.88739e+06	336.073	0	0	0	0
0.00350701	18.9062	13.3567	2.88739e+06	338.629	0	0	0	0
0.00400802	18.7606	13.3576	2.88739e+06	341.257	0	0	0	0
0.00450902	18.6131	13.3585	2.88739e+06	343.962	0	0	0	0
0.00501002	18.4637	13.3594	2.88739e+06	346.744	0	0	0	0
0.00551102	18.3124	13.3603	2.88739e+06	349.609	0	0	0	0
0.00601202	18.1592	13.3612	2.88739e+06	352.559	0	0	0	0
0.00651303	18.004	13.3621	2.88739e+06	355.599	0	0	0	0
0.00701403	17.8468	13.3629	2.88739e+06	358.73	0	0	0	0
0.00751503	17.6876	13.3638	2.88739e+06	361.959	0	0	0	0
0.00801603	17.5263	13.3647	2.88739e+06	365.289	0	0	0	0
0.00851703	17.363	13.3656	2.88739e+06	368.725	0	0	0	0
0.00901804	17.1976	13.3665	2.88738e+06	372.271	0	0	0	0
0.00951904	17.0301	13.3674	2.88738e+06	375.933	0	0	0	0
0.01002	16.8604	13.3683	2.88738e+06	379.716	0	0	0	0
0.010521	16.6886	13.3692	2.88738e+06	383.626	0	0	0	0
0.011022	16.5145	13.3701	2.88738e+06	387.669	0	0	0	0
0.011523	16.3383	13.371	2.88738e+06	391.852	0	0	0	0
0.012024	16.1597	13.3719	2.88738e+06	396.181	0	0	0	0
0.0125251	15.9789	13.3727	2.88738e+06	400.665	0	0	0	0
0.0130261	15.7957	13.3736	2.88738e+06	405.31	0	0	0	0
0.0135271	15.6102	13.3745	2.88738e+06	410.126	0	0	0	0
0.0140281	15.4224	13.3754	2.88738e+06	415.122	0	0	0	0
0.0145291	15.2321	13.3763	2.88738e+06	420.308	0	0	0	0
0.0150301	15.0394	13.3772	2.88738e+06	425.694	0	0	0	0
0.0155311	14.8442	13.3781	2.88738e+06	431.292	0	0	0	0
0.0160321	14.6465	13.379	2.88737e+06	437.113	0	0	0	0
0.0165331	14.4462	13.3799	2.88737e+06	443.172	0	0	0	0
0.0170341	14.2434	13.3808	2.88737e+06	449.481	0	0	0	0
0.0175351	14.038	13.3817	2.88737e+06	456.058	0	0	0	0
0.0180361	13.83	13.3825	2.88737e+06	462.918	0	0	0	0
0.0185371	13.6193	13.3834	2.88737e+06	470.08	0	0	0	0
0.0190381	13.4059	13.3843	2.88737e+06	477.563	0	0	0	0
0.0195391	13.1897	13.3852	2.88737e+06	485.389	0	0	0	0
0.0200401	12.9708	13.3861	2.88737e+06	493.581	0	0	0	0
0.0205411	12.7491	13.387	2.88737e+06	502.165	0	0	0	0
0.0210421	12.5245	13.3879	2.88737e+06	511.169	0	0	0	0
0.0215431	12.2971	13.3888	2.88737e+06	520.624	0	0	0	0
0.0220441	12.0667	13.3898	2.88737e+06	530.563	0	0	0	0
0.0225451	11.8334	13.3908	2.88737e+06	541.025	0	0	0	0
0.0230461	11.597	13.3918	2.88737e+06	552.05	0	0	0	0
0.0235471	11.3577	13.393	2.88737e+06	563.684	0	0	0	0
0.0240481	11.1153	13.3944	2.88737e+06	575.978	0	0	0	0
