x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	20.6002	12.8875	2.99255e+06	322.102	0.000102771	10.0151	300.028	7400
0.000501002	20.4631	12.8944	2.99254e+06	324.259	9.58305e-05	10.0616	300.117	15670
0.001002	20.3243	12.9015	2.99254e+06	326.473	8.31051e-05	10.1259	300.241	16038
0.00150301	20.1837	12.9087	2.99254e+06	328.747	6.18114e-05	10.201	300.374	15631
0.00200401	20.0413	12.916	2.99253e+06	331.082	4.12119e-05	10.2601	300.482	4587
0.00250501	19.8971	12.9233	2.99252e+06	333.481	0	0	0	0
0.00300601	19.7511	12.9307	2.99252e+06	335.946	0	0	0	0
0.00350701	19.6031	12.938	2.99251e+06	338.481	0	0	0	0
0.00400802	19.4533	12.9454	2.99251e+06	341.087	0	0	0	0
0.00450902	19.3016	12.9528	2.9925e+06	343.767	0	0	0	0
0.00501002	19.1479	12.9602	2.99249e+06	346.526	0	0	0	0
0.00551102	18.9923	12.9677	2.99249e+06	349.365	0	0	0	0
0.00601202	18.8346	12.9751	2.99248e+06	352.288	0	0	0	0
0.00651303	18.675	12.9825	2.99248e+06	355.3	0	0	0	0
0.00701403	18.5132	12.9899	2.99247e+06	358.402	0	0	0	0
0.00751503	18.3495	12.9973	2.99246e+06	361.6	0	0	0	0
0.00801603	18.1836	13.0048	2.99246e+06	364.898	0	0	0	0
0.00851703	18.0156	13.0122	2.99245e+06	368.3	0	0	0	0
0.00901804	17.8454	13.0196	2.99245e+06	371.811	0	0	0	0
0.00951904	17.6731	13.027	2.99244e+06	375.436	0	0	0	0
0.01002	17.4985	13.0344	2.99243e+06	379.181	0	0	0	0
0.010521	17.3217	13.0418	2.99243e+06	383.05	0	0	0	0
0.011022	17.1427	13.0492	2.99242e+06	387.05	0	0	0	0
0.011523	16.9613	13.0567	2.99242e+06	391.188	0	0	0	0
0.012024	16.7776	13.0641	2.99241e+06	395.47	0	0	0	0
0.0125251	16.5916	13.0715	2.9924e+06	399.904	0	0	0	0
0.0130261	16.4031	13.0789	2.9924e+06	404.497	0	0	0	0
0.0135271	16.2123	13.0863	2.99239e+06	409.259	0	0	0	0
0.0140281	16.019	13.0937	2.99239e+06	414.197	0	0	0	0
0.0145291	15.8231	13.1011	2.99238e+06	419.322	0	0	0	0
0.0150301	15.6248	13.1085	2.99237e+06	424.643	0	0	0	0
0.0155311	15.4239	13.1159	2.99237e+06	430.173	0	0	0	0
0.0160321	15.2205	13.1233	2.99236e+06	435.922	0	0	0	0
0.0165331	15.0144	13.1307	2.99236e+06	441.905	0	0	0	0
0.0170341	14.8057	13.1381	2.99235e+06	448.134	0	0	0	0
0.0175351	14.5942	13.1456	2.99234e+06	454.626	0	0	0	0
0.0180361	14.3801	13.153	2.99234e+06	461.395	0	0	0	0
0.0185371	14.1632	13.1604	2.99233e+06	468.461	0	0	0	0
0.0190381	13.9434	13.1678	2.99233e+06	475.842	0	0	0	0
0.0195391	13.7209	13.1752	2.99232e+06	483.559	0	0	0	0
0.0200401	13.4955	13.1826	2.99231e+06	491.635	0	0	0	0
0.0205411	13.2671	13.19	2.99231e+06	500.095	0	0	0	0
0.0210421	13.0358	13.1974	2.9923e+06	508.967	0	0	0	0
0.0215431	12.8016	13.2048	2.9923e+06	518.28	0	0	0	0
0.0220441	12.5643	13.2122	2.99229e+06	528.068	0	0	0	0
0.0225451	12.3239	13.2197	2.99229e+06	538.367	0	0	0	0
0.0230461	12.0804	13.2272	2.99228e+06	549.216	0	0	0	0
0.0235471	11.8338	13.2348	2.99228e+06	560.662	0	0	0	0
0.0240481	11.584	13.2427	2.99227e+06	572.752	0	0	0	0
0.0245491	11.331	13.2509	2.99227e+06	585.542	0	0	0	0
0.0250501	11.0746	13.2598	2.99228e+06	599.095	0	0	0	0
0.0255511	10.815	13.2699	2.99229e+06	613.478	0	0	0	0
0.0260521	10.5521	13.2825	2.99231e+06	628.769	0	0	0	0
0.0265531	10.2858	13.2997	2.99237e+06	645.058	0	0	0	0
0.0270541	10.0163	13.3258	2.99247e+06	662.442	0	0	0	0
0.0275551	9.74343	13.3692	2.99268e+06	681.038	0	0	0	0
0.0280561	9.46753	13.4466	2.99307e+06	700.978	0	0	0	0
0.0285571	9.18896	13.5918	2.99385e+06	722.415	0	0	0	0
0.0290581	8.90851	13.8737	2.99537e+06	745.537	0	0	0	0
0.0295591	8.62782	14.4345	2.9984e+06	770.57	0	0	0	0
0.0300601	8.35016	15.5732	3.00449e+06	797.811	0	0	0	0
0.0305611	8.07989	17.3252	3.00698e+06	825.179	0	0	0	0
0.0310621	7.82007	19.4166	3.00752e+06	852.748	0	0	0	0
0.0315631	7.57192	21.6944	3.00703e+06	880.552	0	0	0	0
0.0320641	7.33567	24.0737	3.00601e+06	908.603	0	0	0	0
0.0325651	7.11105	26.5081	3.00472e+06	936.901	0	0	0	0
0.0330661	6.8976	28.9725	3.0033e+06	965.439	0	0	0	0
0.0335671	6.69475	31.4533	3.00183e+06	994.205	0	0	0	0
0.0340681	6.50191	33.9434	3.00035e+06	1023.19	0	0	0	0
0.0345691	6.31852	36.4392	2.99887e+06	1052.36	0	0	0	0
0.0350701	6.14403	38.9385	2.99739e+06	1081.72	0	0	0	0
0.0355711	5.97793	41.4404	2.99594e+06	1111.23	0	0	0	0
0.0360721	5.81975	43.9445	2.9945e+06	1140.89	0	0	0	0
0.0365731	5.66905	46.4504	2.99307e+06	1170.66	0	0	0	0
0.0370741	5.52544	48.958	2.99167e+06	1200.52	0	0	0	0
0.0375752	5.38855	51.4674	2.99028e+06	1230.45	0	0	0	0
0.0380762	5.25803	53.9783	2.9889e+06	1260.41	0	0	0	0
0.0385772	5.13359	56.4909	2.98754e+06	1290.37	0	0	0	0
0.0390782	5.01494	59.0052	2.98619e+06	1320.31	0	0	0	0
0.0395792	4.90183	61.521	2.98486e+06	1350.17	0	0	0	0
0.0400802	4.79404	64.0385	2.98353e+06	1379.92	0	0	0	0
0.0405812	4.69137	66.5577	2.98222e+06	1409.5	0	0	0	0
0.0410822	4.59364	69.0784	2.98093e+06	1438.86	0	0	0	0
0.0415832	4.5007	71.6008	2.97964e+06	1467.94	0	0	0	0
