x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	19.823	13.3855	2.8798e+06	322.119	0.000102911	10.0208	300.028	7550
0.000501002	19.69	13.3859	2.8798e+06	324.294	9.57564e-05	10.0837	300.116	14900
0.001002	19.5554	13.3863	2.8798e+06	326.527	8.31276e-05	10.1717	300.241	14780
0.00150301	19.419	13.3867	2.8798e+06	328.82	6.27538e-05	10.2713	300.374	14410
0.00200401	19.2809	13.3872	2.8798e+06	331.175	4.0783e-05	10.3525	300.482	4420
0.00250501	19.141	13.3876	2.8798e+06	333.596	0	0	0	0
0.00300601	18.9993	13.3881	2.8798e+06	336.083	0	0	0	0
0.00350701	18.8558	13.3885	2.8798e+06	338.641	0	0	0	0
0.00400802	18.7105	13.3889	2.8798e+06	341.271	0	0	0	0
0.00450902	18.5633	13.3894	2.8798e+06	343.977	0	0	0	0
0.00501002	18.4142	13.3898	2.87979e+06	346.762	0	0	0	0
0.00551102	18.2632	13.3903	2.87979e+06	349.629	0	0	0	0
0.00601202	18.1103	13.3907	2.87979e+06	352.581	0	0	0	0
0.00651303	17.9554	13.3912	2.87979e+06	355.623	0	0	0	0
0.00701403	17.7985	13.3916	2.87979e+06	358.757	0	0	0	0
0.00751503	17.6397	13.3921	2.87979e+06	361.988	0	0	0	0
0.00801603	17.4787	13.3925	2.87979e+06	365.321	0	0	0	0
0.00851703	17.3158	13.393	2.87979e+06	368.759	0	0	0	0
0.00901804	17.1507	13.3934	2.87979e+06	372.308	0	0	0	0
0.00951904	16.9835	13.3938	2.87979e+06	375.973	0	0	0	0
0.01002	16.8142	13.3943	2.87979e+06	379.759	0	0	0	0
0.010521	16.6427	13.3947	2.87979e+06	383.672	0	0	0	0
0.011022	16.469	13.3952	2.87979e+06	387.719	0	0	0	0
0.011523	16.2931	13.3956	2.87979e+06	391.905	0	0	0	0
0.012024	16.1149	13.3961	2.87979e+06	396.238	0	0	0	0
0.0125251	15.9345	13.3965	2.87979e+06	400.725	0	0	0	0
0.0130261	15.7517	13.397	2.87979e+06	405.375	0	0	0	0
0.0135271	15.5666	13.3974	2.87979e+06	410.195	0	0	0	0
0.0140281	15.3791	13.3978	2.87979e+06	415.196	0	0	0	0
