x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0.183868	3.44184	306.825	2.76475e+06	1781.1	0	0	0	0
0.184369	3.43205	316.049	2.75531e+06	1780.08	0	0	0	0
0.18487	3.42147	325.708	2.74511e+06	1778.97	0	0	0	0
0.185371	3.41005	335.823	2.73409e+06	1777.77	0	0	0	0
0.185872	3.39769	346.415	2.7222e+06	1776.48	0	0	0	0
0.186373	3.38434	357.507	2.70935e+06	1775.07	0	0	0	0
0.186874	3.3699	369.123	2.69547e+06	1773.54	0	0	0	0
0.187375	3.3543	381.285	2.68047e+06	1771.87	0	0	0	0
0.187876	3.33742	394.016	2.66426e+06	1770.07	0	0	0	0
0.188377	3.31918	407.341	2.64677e+06	1768.1	0	0	0	0
0.188878	3.29947	421.283	2.62788e+06	1765.97	0	0	0	0
0.189379	3.27818	435.868	2.60749e+06	1763.65	0	0	0	0
0.18988	3.2552	451.117	2.5855e+06	1761.13	0	0	0	0
0.190381	3.23039	467.053	2.5618e+06	1758.39	0	0	0	0
0.190882	3.20365	483.698	2.53629e+06	1755.4	0	0	0	0
0.191383	3.17484	501.071	2.50884e+06	1752.16	0	0	0	0
0.191884	3.14385	519.189	2.47936e+06	1748.65	0	0	0	0
0.192385	3.11054	538.067	2.44774e+06	1744.83	0	0	0	0
0.192886	3.07482	557.717	2.41388e+06	1740.68	0	0	0	0
0.193387	3.03656	578.146	2.3777e+06	1736.19	0	0	0	0
0.193888	2.99567	599.356	2.33912e+06	1731.34	0	0	0	0
0.194389	2.95208	621.345	2.29809e+06	1726.09	0	0	0	0
0.19489	2.90572	644.103	2.25459e+06	1720.43	0	0	0	0
0.195391	2.85656	667.613	2.20859e+06	1714.33	0	0	0	0
0.195892	2.80461	691.85	2.16014e+06	1707.79	0	0	0	0
0.196393	2.74989	716.778	2.10929e+06	1700.77	0	0	0	0
0.196894	2.69248	742.349	2.05616e+06	1693.27	0	0	0	0
0.197395	2.63253	768.503	2.00089e+06	1685.29	0	0	0	0
0.197896	2.57021	795.163	1.9437e+06	1676.81	0	0	0	0
0.198397	2.50577	822.231	1.88485e+06	1667.86	0	0	0	0
0.198898	2.43956	849.586	1.82467e+06	1658.43	0	0	0	0
0.199399	2.37198	877.078	1.76359e+06	1648.58	0	0	0	0
0.1999	2.30366	904.555	1.70217e+06	1638.36	0	0	0	0
0.200401	2.23522	931.943	1.64102e+06	1627.86	0	0	0	0
0.200902	2.1669	959.264	1.58035e+06	1617.1	0	0	0	0
0.201403	2.0986	986.574	1.52009e+06	1606.07	0	0	0	0
0.201904	2.03025	1013.92	1.4602e+06	1594.73	0	0	0	0
0.202405	1.96181	1041.3	1.40065e+06	1583.05	0	0	0	0
0.202906	1.89342	1068.69	1.34156e+06	1571.04	0	0	0	0
0.203407	1.82529	1096.07	1.28315e+06	1558.72	0	0	0	0
0.203908	1.75758	1123.41	1.22554e+06	1546.1	0	0	0	0
0.204409	1.69043	1150.68	1.16888e+06	1533.19	0	0	0	0
0.20491	1.62402	1177.88	1.1133e+06	1520	0	0	0	0
0.205411	1.55839	1204.96	1.05884e+06	1506.54	0	0	0	0
0.205912	1.49382	1231.84	1.00574e+06	1492.83	0	0	0	0
0.206413	1.43068	1258.46	954275	1478.95	0	0	0	0
0.206914	1.36905	1284.78	904503	1464.92	0	0	0	0
0.207415	1.30903	1310.76	856488	1450.76	0	0	0	0
0.207916	1.25089	1336.32	810413	1436.52	0	0	0	0
0.208417	1.19474	1361.42	766353	1422.26	0	0	0	0
0.208918	1.14068	1386.01	724338	1408	0	0	0	0
0.209419	1.08886	1410.04	684464	1393.8	0	0	0	0
0.20992	1.03931	1433.46	646707	1379.71	0	0	0	0
0.210421	0.992097	1456.24	611090	1365.76	0	0	0	0
0.210922	0.947255	1478.34	577592	1352	0	0	0	0
0.211423	0.904784	1499.71	546174	1338.47	0	0	0	0
0.211924	0.864688	1520.35	516800	1325.22	0	0	0	0
0.212425	0.826917	1540.22	489393	1312.26	0	0	0	0
0.212926	0.791431	1559.32	463887	1299.64	0	0	0	0
0.213427	0.758155	1577.64	440190	1287.38	0	0	0	0
0.213928	0.727019	1595.17	418216	1275.5	0	0	0	0
0.214429	0.697926	1611.92	397866	1264.01	0	0	0	0
0.21493	0.670785	1627.9	379045	1252.94	0	0	0	0
0.215431	0.645491	1643.12	361650	1242.29	0	0	0	0
