x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	19.7762	13.4168	2.87301e+06	322.12	0.000102916	10.0212	300.028	7550
0.000501002	19.6435	13.4168	2.87301e+06	324.296	9.57054e-05	10.0852	300.116	14910
0.001002	19.5091	13.4169	2.87301e+06	326.53	8.31814e-05	10.1747	300.24	14810
0.00150301	19.373	13.4169	2.87301e+06	328.825	6.22249e-05	10.2767	300.373	14320
0.00200401	19.2351	13.417	2.87301e+06	331.182	4.15351e-05	10.3582	300.483	4380
0.00250501	19.0954	13.417	2.87301e+06	333.603	0	0	0	0
0.00300601	18.954	13.4171	2.87301e+06	336.093	0	0	0	0
0.00350701	18.8108	13.4172	2.87301e+06	338.652	0	0	0	0
0.00400802	18.6657	13.4172	2.87301e+06	341.284	0	0	0	0
0.00450902	18.5188	13.4173	2.87301e+06	343.992	0	0	0	0
0.00501002	18.37	13.4173	2.87301e+06	346.778	0	0	0	0
0.00551102	18.2193	13.4174	2.87301e+06	349.647	0	0	0	0
0.00601202	18.0666	13.4175	2.87301e+06	352.601	0	0	0	0
0.00651303	17.912	13.4175	2.87301e+06	355.645	0	0	0	0
0.00701403	17.7554	13.4176	2.87301e+06	358.781	0	0	0	0
0.00751503	17.5968	13.4176	2.87301e+06	362.015	0	0	0	0
0.00801603	17.4362	13.4177	2.87301e+06	365.35	0	0	0	0
0.00851703	17.2735	13.4178	2.87301e+06	368.79	0	0	0	0
0.00901804	17.1087	13.4178	2.87301e+06	372.342	0	0	0	0
0.00951904	16.9419	13.4179	2.87301e+06	376.01	0	0	0	0
0.01002	16.7729	13.4179	2.87301e+06	379.799	0	0	0	0
0.010521	16.6017	13.418	2.87301e+06	383.715	0	0	0	0
0.011022	16.4283	13.4181	2.87301e+06	387.764	0	0	0	0
0.011523	16.2527	13.4181	2.87301e+06	391.954	0	0	0	0
0.012024	16.0749	13.4182	2.87301e+06	396.29	0	0	0	0
0.0125251	15.8947	13.4182	2.87301e+06	400.781	0	0	0	0
0.0130261	15.7123	13.4183	2.87301e+06	405.434	0	0	0	0
0.0135271	15.5275	13.4184	2.87301e+06	410.258	0	0	0	0
0.0140281	15.3404	13.4184	2.87301e+06	415.263	0	0	0	0
0.0145291	15.1509	13.4185	2.87301e+06	420.458	0	0	0	0
0.0150301	14.9589	13.4185	2.87301e+06	425.853	0	0	0	0
0.0155311	14.7645	13.4186	2.87301e+06	431.461	0	0	0	0
0.0160321	14.5676	13.4187	2.87301e+06	437.293	0	0	0	0
0.0165331	14.3682	13.4187	2.87301e+06	443.363	0	0	0	0
0.0170341	14.1662	13.4188	2.87301e+06	449.684	0	0	0	0
0.0175351	13.9616	13.4188	2.87301e+06	456.274	0	0	0	0
0.0180361	13.7544	13.4189	2.87301e+06	463.147	0	0	0	0
0.0185371	13.5445	13.419	2.87301e+06	470.323	0	0	0	0
0.0190381	13.332	13.419	2.87301e+06	477.821	0	0	0	0
0.0195391	13.1167	13.4191	2.87301e+06	485.662	0	0	0	0
0.0200401	12.8987	13.4191	2.87301e+06	493.871	0	0	0	0
0.0205411	12.6779	13.4192	2.87301e+06	502.473	0	0	0	0
0.0210421	12.4543	13.4193	2.87301e+06	511.496	0	0	0	0
0.0215431	12.2278	13.4194	2.87301e+06	520.971	0	0	0	0
0.0220441	11.9983	13.4195	2.87301e+06	530.932	0	0	0	0
0.0225451	11.766	13.4196	2.87301e+06	541.417	0	0	0	0
0.0230461	11.5307	13.4199	2.87301e+06	552.467	0	0	0	0
0.0235471	11.2923	13.4202	2.87301e+06	564.127	0	0	0	0
0.0240481	11.0509	13.4208	2.87301e+06	576.45	0	0	0	0
0.0245491	10.8065	13.4218	2.87302e+06	589.492	0	0	0	0
0.0250501	10.5589	13.4235	2.87303e+06	603.317	0	0	0	0
0.0255511	10.3081	13.4267	2.87305e+06	617.996	0	0	0	0
0.0260521	10.0542	13.4326	2.87308e+06	633.611	0	0	0	0
0.0265531	9.79714	13.4435	2.87314e+06	650.251	0	0	0	0
0.0270541	9.5369	13.464	2.87326e+06	668.022	0	0	0	0
0.0275551	9.27358	13.5031	2.87348e+06	687.043	0	0	0	0
0.0280561	9.00737	13.5786	2.87389e+06	707.45	0	0	0	0
