x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0	19.9762	13.2842	2.90201e+06	322.115	0.000102838	10.0196	300.028	7500
0.000501002	19.8425	13.2858	2.90201e+06	324.286	9.57469e-05	10.0787	300.116	14850
0.001002	19.707	13.2875	2.90201e+06	326.514	8.33249e-05	10.1616	300.241	14770
0.00150301	19.5699	13.2892	2.90201e+06	328.802	6.23322e-05	10.2565	300.374	14320
0.00200401	19.4309	13.2909	2.90201e+06	331.153	4.14869e-05	10.3319	300.482	4460
0.00250501	19.2902	13.2926	2.90201e+06	333.568	0	0	0	0
0.00300601	19.1477	13.2944	2.90201e+06	336.051	0	0	0	0
0.00350701	19.0034	13.2961	2.90201e+06	338.603	0	0	0	0
0.00400802	18.8572	13.2979	2.90201e+06	341.227	0	0	0	0
0.00450902	18.7092	13.2996	2.902e+06	343.928	0	0	0	0
0.00501002	18.5592	13.3014	2.902e+06	346.706	0	0	0	0
0.00551102	18.4073	13.3031	2.902e+06	349.566	0	0	0	0
0.00601202	18.2535	13.3049	2.902e+06	352.512	0	0	0	0
0.00651303	18.0977	13.3066	2.902e+06	355.546	0	0	0	0
0.00701403	17.94	13.3084	2.902e+06	358.673	0	0	0	0
0.00751503	17.7802	13.3101	2.902e+06	361.897	0	0	0	0
0.00801603	17.6183	13.3119	2.90199e+06	365.221	0	0	0	0
0.00851703	17.4544	13.3136	2.90199e+06	368.651	0	0	0	0
0.00901804	17.2883	13.3154	2.90199e+06	372.191	0	0	0	0
0.00951904	17.1202	13.3171	2.90199e+06	375.847	0	0	0	0
0.01002	16.9499	13.3189	2.90199e+06	379.623	0	0	0	0
0.010521	16.7774	13.3206	2.90199e+06	383.527	0	0	0	0
0.011022	16.6026	13.3224	2.90199e+06	387.562	0	0	0	0
0.011523	16.4257	13.3242	2.90198e+06	391.737	0	0	0	0
0.012024	16.2465	13.3259	2.90198e+06	396.059	0	0	0	0
0.0125251	16.0649	13.3277	2.90198e+06	400.534	0	0	0	0
0.0130261	15.8811	13.3294	2.90198e+06	405.171	0	0	0	0
0.0135271	15.6949	13.3312	2.90198e+06	409.978	0	0	0	0
0.0140281	15.5063	13.3329	2.90198e+06	414.964	0	0	0	0
0.0145291	15.3152	13.3347	2.90198e+06	420.14	0	0	0	0
0.0150301	15.1218	13.3364	2.90198e+06	425.515	0	0	0	0
0.0155311	14.9258	13.3382	2.90197e+06	431.101	0	0	0	0
0.0160321	14.7273	13.3399	2.90197e+06	436.911	0	0	0	0
0.0165331	14.5263	13.3417	2.90197e+06	442.957	0	0	0	0
0.0170341	14.3227	13.3434	2.90197e+06	449.254	0	0	0	0
0.0175351	14.1165	13.3452	2.90197e+06	455.816	0	0	0	0
0.0180361	13.9076	13.3469	2.90197e+06	462.662	0	0	0	0
0.0185371	13.6961	13.3487	2.90197e+06	469.808	0	0	0	0
0.0190381	13.4818	13.3504	2.90196e+06	477.274	0	0	0	0
0.0195391	13.2648	13.3522	2.90196e+06	485.083	0	0	0	0
0.0200401	13.045	13.3539	2.90196e+06	493.256	0	0	0	0
0.0205411	12.8223	13.3557	2.90196e+06	501.821	0	0	0	0
0.0210421	12.5968	13.3574	2.90196e+06	510.804	0	0	0	0
0.0215431	12.3684	13.3592	2.90196e+06	520.236	0	0	0	0
0.0220441	12.1371	13.361	2.90196e+06	530.151	0	0	0	0
0.0225451	11.9028	13.3629	2.90196e+06	540.587	0	0	0	0
0.0230461	11.6655	13.3648	2.90196e+06	551.584	0	0	0	0
0.0235471	11.4251	13.3668	2.90196e+06	563.189	0	0	0	0
0.0240481	11.1817	13.369	2.90196e+06	575.451	0	0	0	0
0.0245491	10.9351	13.3717	2.90196e+06	588.427	0	0	0	0
0.0250501	10.6854	13.3751	2.90197e+06	602.182	0	0	0	0
0.0255511	10.4324	13.3798	2.90199e+06	616.784	0	0	0	0
0.0260521	10.1763	13.3872	2.90202e+06	632.315	0	0	0	0
0.0265531	9.91695	13.3995	2.90208e+06	648.866	0	0	0	0
0.0270541	9.6544	13.4213	2.90219e+06	666.537	0	0	0	0
0.0275551	9.38873	13.4613	2.90241e+06	685.449	0	0	0	0
0.0280561	9.12012	13.537	2.90282e+06	705.737	0	0	0	0
0.0285571	8.84895	13.6833	2.90361e+06	727.561	0	0	0	0
0.0290581	8.57603	13.9712	2.90514e+06	751.112	0	0	0	0
0.0295591	8.30294	14.5465	2.90818e+06	776.627	0	0	0	0
0.0300601	8.03288	15.713	2.91424e+06	804.409	0	0	0	0
0.0305611	7.77008	17.5076	2.91673e+06	832.327	0	0	0	0
0.0310621	7.5175	19.6523	2.91728e+06	860.453	0	0	0	0
0.0315631	7.27634	21.9905	2.91679e+06	888.825	0	0	0	0
0.0320641	7.04681	24.4349	2.91577e+06	917.454	0	0	0	0
0.0325651	6.82866	26.9373	2.91448e+06	946.342	0	0	0	0
0.0330661	6.62144	29.4716	2.91305e+06	975.482	0	0	0	0
0.0335671	6.42459	32.0234	2.91157e+06	1004.86	0	0	0	0
0.0340681	6.23753	34.5852	2.91008e+06	1034.46	0	0	0	0
0.0345691	6.0597	37.153	2.90858e+06	1064.27	0	0	0	0
0.0350701	5.89057	39.7247	2.9071e+06	1094.27	0	0	0	0
0.0355711	5.72962	42.2992	2.90563e+06	1124.45	0	0	0	0
0.0360721	5.5764	44.876	2.90418e+06	1154.76	0	0	0	0
0.0365731	5.43048	47.4548	2.90275e+06	1185.21	0	0	0	0
0.0370741	5.29146	50.0355	2.90133e+06	1215.75	0	0	0	0
0.0375752	5.15898	52.6179	2.89993e+06	1246.37	0	0	0	0
0.0380762	5.0327	55.2021	2.89855e+06	1277.03	0	0	0	0
0.0385772	4.91233	57.788	2.89718e+06	1307.71	0	0	0	0
0.0390782	4.79759	60.3757	2.89582e+06	1338.36	0	0	0	0
0.0395792	4.68823	62.9651	2.89448e+06	1368.94	0	0	0	0
0.0400802	4.58403	65.5562	2.89315e+06	1399.41	0	0	0	0
0.0405812	4.4848	68.1491	2.89183e+06	1429.73	0	0	0	0
0.0410822	4.39035	70.7437	2.89052e+06	1459.83	0	0	0	0
0.0415832	4.30054	73.3401	2.88923e+06	1489.64	0	0	0	0
0.0420842	4.21525	75.9382	2.88794e+06	1519.11	0	0	0	0
0.0425852	4.13438	78.5381	2.88667e+06	1548.14	0	0	0	0
0.0430862	4.05786	81.1397	2.88541e+06	1576.64	0	0	0	0
0.0435872	3.98565	83.7431	2.88416e+06	1604.51	0	0	0	0
0.0440882	3.91774	86.3483	2.88292e+06	1631.63	0	0	0	0
0.0445892	3.85414	88.9552	2.88169e+06	1657.85	0	0	0	0
0.0450902	3.7949	91.5639	2.88047e+06	1683.01	0	0	0	0
0.0455912	3.74012	94.1743	2.87927e+06	1706.95	0	0	0	0
0.0460922	3.68993	96.7864	2.87807e+06	1729.45	0	0	0	0
0.0465932	3.64451	99.4002	2.87689e+06	1750.28	0	0	0	0
0.0470942	3.60411	102.015	2.87571e+06	1769.17	0	0	0	0
0.0475952	3.56902	104.63	2.87455e+06	1785.85	0	0	0	0
0.0480962	3.53958	107.239	2.87337e+06	1799.96	0	0	0	0
0.0485972	3.51622	109.828	2.87213e+06	1811.14	0	0	0	0
0.0490982	3.49929	112.344	2.87064e+06	1818.96	0	0	0	0
0.0495992	3.4889	114.617	2.86832e+06	1822.9	0	0	0	0
0.0501002	3.48387	116.084	2.86319e+06	1822.26	0	0	0	0
0.0506012	3.48187	116.679	2.86111e+06	1821.99	0	0	0	0
